종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 C 202009 350.0,"0.05",0.00,"0.00","0.00","0.00","0","464",0
코스피200 C 202009 352.5,"0.06",0.00,"0.00","0.00","0.00","0","2",0
코스피200 C 202009 355.0,"0.04",0.00,"0.00","0.00","0.00","0","397",0
코스피200 C 202009 357.5,"0.05",0.00,"0.00","0.00","0.00","0","11",0
코스피200 C 202009 360.0,"0.05",0.00,"0.00","0.00","0.00","0","139",0
코스피200 C 202009 362.5,"0.05",0.00,"0.05","0.05","0.05","1","12",3
코스피200 C 202009 365.0,"0.04",0.01,"0.05","0.05","0.04","12","653",2
코스피200 C 202010 202.5,"65.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 205.0,"62.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 207.5,"60.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 210.0,"57.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 212.5,"55.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 215.0,"53.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202010 217.5,"50.80",0.00,"0.00","0.00","0.00","0","0",0
