종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202009 205.0,"1.20",0.00,"0.00","0.00","0.00","0","1,881",0
코스피200 P 202009 207.5,"1.69",0.11,"1.69","1.69","1.69","1","15",1
코스피200 P 202009 210.0,"1.65",0.00,"1.77","1.79","1.65","7","1,240",3
코스피200 P 202009 212.5,"1.67",0.00,"0.00","0.00","0.00","0","2",0
코스피200 P 202009 215.0,"1.68",0.00,"0.00","0.00","0.00","0","213",0
코스피200 P 202009 217.5,"1.79",0.00,"0.00","0.00","0.00","0","2",0
코스피200 P 202009 220.0,"2.23",0.00,"0.00","0.00","0.00","0","7,302",0
코스피200 P 202009 222.5,"2.43",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 225.0,"2.75",0.00,"0.00","0.00","0.00","200","1,514",0
코스피200 P 202009 227.5,"2.84",0.00,"0.00","0.00","0.00","0","7",0
코스피200 P 202009 230.0,"3.54",0.41,"3.43","3.54","3.43","3","2,843",1
코스피200 P 202009 232.5,"3.37",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202009 235.0,"3.37",0.00,"0.00","0.00","0.00","0","2,202",0
코스피200 P 202009 237.5,"3.99",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 240.0,"4.02",0.00,"0.00","0.00","0.00","1,000","10,504",0
코스피200 P 202009 242.5,"4.22",0.00,"0.00","0.00","0.00","0","210",0
코스피200 P 202009 245.0,"5.58",0.00,"0.00","0.00","0.00","0","3,710",0
코스피200 P 202009 247.5,"5.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 250.0,"6.78",0.00,"0.00","0.00","0.00","0","6,455",0
코스피200 P 202009 252.5,"7.24",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 255.0,"8.32",0.00,"0.00","0.00","0.00","0","2,678",0
코스피200 P 202009 257.5,"9.42",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202009 260.0,"10.50",0.00,"0.00","0.00","0.00","200","6,685",0
코스피200 P 202009 262.5,"11.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 265.0,"13.05",0.00,"0.00","0.00","0.00","0","1,459",0
코스피200 P 202009 267.5,"14.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 270.0,"15.80",0.00,"0.00","0.00","0.00","0","3,904",0
코스피200 P 202009 272.5,"17.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 275.0,"18.85",0.00,"0.00","0.00","0.00","0","1,736",0
코스피200 P 202009 277.5,"20.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 280.0,"22.20",0.00,"0.00","0.00","0.00","0","2,391",0
코스피200 P 202009 282.5,"23.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 285.0,"25.60",0.00,"0.00","0.00","0.00","0","1,308",0
코스피200 P 202009 287.5,"27.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 290.0,"29.40",0.00,"0.00","0.00","0.00","0","1,651",0
코스피200 P 202009 292.5,"31.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 295.0,"33.25",0.00,"0.00","0.00","0.00","0","404",0
코스피200 P 202009 297.5,"35.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 300.0,"37.30",0.00,"0.00","0.00","0.00","0","1,251",0
코스피200 P 202009 302.5,"39.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 305.0,"41.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 307.5,"43.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 310.0,"45.75",0.00,"0.00","0.00","0.00","0","0",0
